label,text
phishing,"URGENT: Your account has been suspended! Click here immediately to verify your identity: http://192.168.1.1/login?token=abc123 or your account will be permanently deleted within 24 hours. ACT NOW!!! Visit http://bit.ly/secure-verify"
phishing,"Dear Valued Customer, We noticed suspicious activity on your PayPal account. Your account has been LIMITED. Please CLICK HERE: http://paypal-secure-login.tk/verify to restore access. Failure to verify within 48 hours will result in permanent suspension. Username: [your email] Password: [your password]"
phishing,"Congratulations!!! You have WON $1,000,000 in our online lottery! To claim your prize IMMEDIATELY, send your personal details to: winner@lottery-international.xyz and click: http://tinyurl.com/claim-prize-now. This offer EXPIRES in 24 HOURS!!!"
phishing,"SECURITY ALERT: Your bank account at CitiBank has been compromised. Unauthorized transactions detected. VERIFY ACCOUNT NOW: http://citibank-secure.ml/auth?redirect=account or call +1-800-FAKE-NUM. DO NOT IGNORE THIS MESSAGE."
phishing,"Dear User, Your Apple ID has been locked due to too many failed login attempts. Click the link below to unlock your account: http://apple-id-unlock.gq/secure?id=user123 - If you do not verify within 2 hours, your account will be terminated permanently."
phishing,"FREE GIFT CARD OFFER!!! Amazon is giving away $500 gift cards to selected customers. You have been SELECTED! Click here to claim: http://amaz0n-giftcard.tk/claim and enter your credit card to cover $1 shipping fee. LIMITED TIME OFFER!!!"
phishing,"IT Department Notice: Your email storage is 99% FULL. Your account will be disabled unless you click here to upgrade storage: http://company-mail-upgrade.xyz/login - Enter your employee credentials immediately. This is URGENT."
phishing,"Dear Account Holder, We have detected unusual login activity from IP: 192.168.99.1. Your online banking access has been temporarily suspended. To restore access click: http://secure-bank-verify.ml/restore?token=xyz789. Provide your SSN and account number."
phishing,"You have received a $250 Walmart eGift Card! Claim your reward: http://bit.ly/walmart-gift-card-free. Complete a short survey and provide your credit card details to receive your card. Expires TODAY!!! Forward to 5 friends to double your reward!"
phishing,"FINAL WARNING: Your Netflix subscription payment has FAILED. Update your billing information IMMEDIATELY at: http://netfl1x-billing-update.cf/payment or your account will be cancelled. Visit the link and enter your card details: http://tinyurl.com/netflix-pay"
phishing,"Dear Customer, Your DHL package #4729182 could not be delivered. To reschedule delivery, pay a small customs fee of $2.99 here: http://dhl-delivery-fee.tk/pay?pkg=4729182 - Enter card details. Package will be returned if not claimed in 24 HOURS!"
phishing,"MICROSOFT SECURITY TEAM: Your Windows license has EXPIRED. Your computer is at risk. Call our toll-free number 1-800-FAKE or click: http://windows-activation.ml/renew - Remote access required to fix your computer. Call NOW to avoid data loss!!!"
phishing,"Dearest Friend, I am MR. JOHNSON WILLIAMS, attorney to late Mr. George Williams who died without a will. His estate of $15.5 MILLION USD is unclaimed. I need your assistance to transfer these funds. Reply with bank details. God bless. Strictly CONFIDENTIAL."
phishing,"Your iCloud account storage is FULL! Photos and data will be DELETED in 24 hours. Click here to get 50GB FREE: http://icloud-storage-free.gq/upgrade - Sign in with your Apple ID and password. ACT NOW before your memories are gone forever!!!"
phishing,"HR DEPARTMENT: Please review and sign the attached document regarding your employment contract changes. Login to access: http://company-hr-portal.tk/documents?emp=123 - Enter your Active Directory credentials. DEADLINE: End of business today."
safe,"Hi Team, Just a reminder that our weekly stand-up meeting is scheduled for tomorrow at 10 AM in Conference Room B. Please come prepared with your project updates. The agenda has been shared on Google Calendar. Let me know if you have any conflicts. Best regards, Sarah"
safe,"Dear John, Thank you for your purchase! Your order #ORD-2024-78542 has been confirmed. You ordered: Blue Wireless Headphones x1 - $89.99. Estimated delivery: 3-5 business days. Track your order at amazon.com/orders. Questions? Contact support@amazon.com"
safe,"Hello Dr. Thompson, Your appointment is confirmed for March 15th at 2:30 PM with Dr. Johnson at City Medical Center, 123 Health Street. Please bring your insurance card and arrive 15 minutes early. To reschedule call (555) 123-4567. See you soon!"
safe,"Hi there, Your GitHub Actions workflow 'CI/CD Pipeline' completed successfully. Branch: main, Commit: a3f9b2c. All 47 tests passed. Build time: 3m 42s. View the full run at github.com/yourrepo/actions. Happy coding!"
safe,"Dear Subscriber, Your monthly invoice from Spotify Premium is ready. Amount: $9.99 charged to Visa ending in 4242. Billing date: March 1, 2024. To view your invoice or manage your subscription, visit spotify.com/account. Thank you for being a Premium member!"
safe,"Hey Mike, Quick update on the project timeline. We've completed the backend API integration and are now moving to frontend testing phase. The new deployment is scheduled for next Friday. I've updated the Jira board accordingly. Let me know if you need anything. Cheers, Alex"
safe,"Dear Parent/Guardian, This is a reminder that the school Science Fair will be held on April 20th in the gymnasium from 2 PM to 5 PM. Students should bring their projects by 1 PM for setup. Parking will be available in Lot C. We look forward to seeing you!"
safe,"Hello, Your password for your LinkedIn account was successfully changed on March 5th, 2024 at 3:42 PM from device: Chrome on Windows. If this was you, no action is needed. If you didn't make this change, please visit linkedin.com/help immediately."
safe,"Hi David, Attached is the Q4 2023 financial report you requested. Key highlights: Revenue up 12% YoY, Operating costs reduced by 8%, New customer acquisition increased by 23%. Please review before Thursday's board meeting. Let me know if you have questions. - Finance Team"
safe,"Good morning! Your daily weather update for Seattle, WA: Today's forecast shows partly cloudy skies with a high of 58°F and low of 44°F. There's a 30% chance of afternoon showers. UV Index: Low. Have a great day and don't forget your umbrella just in case!"
safe,"Dear Alumni, We are excited to invite you to the Annual University Homecoming Weekend, September 22-24, 2023. Events include campus tours, networking sessions, and the football game vs. State University. Register at alumni.university.edu/homecoming. Early bird deadline: August 1st."
safe,"Hi Team, The IT department will be performing scheduled maintenance on our servers this Sunday from 2 AM to 6 AM EST. During this time, email and internal systems will be unavailable. Please save your work and log out before the maintenance window. Thank you for your cooperation."
safe,"Hello valued customer, Your Amazon Prime membership has been renewed successfully. Membership type: Prime Annual. Amount charged: $139.00 to your card ending in 5678. Next renewal date: March 2025. Manage your membership at amazon.com/prime. Thank you!"
safe,"Dear Mr. Chen, Following up on our meeting last Tuesday regarding the software development proposal. I've revised the scope document based on your feedback and attached it here. The total project estimate is $45,000 with a 3-month timeline. Please review at your convenience. Best, Tom"
safe,"Hi Sarah, Just wanted to share that the code review for PR #342 is complete. I left a few comments about the database query optimization and suggested a refactoring for the auth module. Nothing blocking - just improvements to consider. Looks good overall! Merge when ready."
